Hotel_Name,Hotel_Adress,Distance_to_Center,Number_of_Reviews,Customer_Rating,Number_of_Stars,Price,Free_Cancellation,Accommodation_Type
Sirius Hotel,"Tekirova, Kemer, Antalya -",Unknown,10,8.4,4,601.910 TL,No,Breakfast Included
BAYOU Villas,"Güzeloba-Muratpaşa, Muratpaşa, Antalya -",Merkeze 0.9 km,Unknown,Unknown,5,464.893 TL,No,Full board
Gloria Serenity Resort,"Belek, Serik, Antalya -",Unknown,15,9.5,5,452.574 TL,No,All Inclusive
Azure Villas By Cornelia,"Belek, Serik, Antalya -",Unknown,8,9.4,5,441.000 TL,No,Ultra All Inclusive
Upperhouse Hotel,"Kaş, Antalya -",Unknown,42,7.3,4,396.000 TL,No,Breakfast Included
Cullinan Belek,"Kadriye, Serik, Antalya -",Unknown,419,9.6,5,353.622 TL,No,All Inclusive
Gloria Golf Resort,"Belek, Serik, Antalya -",Unknown,29,9.2,5,332.687 TL,No,All Inclusive
Nirvana Dolce Vita,"Tekirova, Kemer, Antalya -",Unknown,247,9.1,5,301.970 TL,No,All Inclusive
Calista Luxury Resort,"Belek, Serik, Antalya -",Unknown,368,9.3,5,288.899 TL,No,All Inclusive
Delphin Imperial Hotel,"kundu, Antalya -",Merkeze 0.7 km,430,9.1,5,277.448 TL,No,All Inclusive
NG Phaselis Bay,"Göynük, Kemer, Antalya -",Unknown,48,9.9,5,274.387 TL,No,All Inclusive
IC Hotels Green Palace & Villas,"Aksu, Antalya -",Merkeze 3.5 km,9,9.2,5,252.218 TL,No,All Inclusive
Delphin Palace,"Kemerağzı, Aksu, Antalya -",Merkeze 1 km,19,9.2,5,251.353 TL,No,All Inclusive
Smyrna Aparts,"Andifli, Kaş, Antalya -",Unknown,14,9.8,3,238.212 TL,No,Breakfast Included
Kaya Palazzo Golf Resort Belek,"Belek, Serik, Antalya -",Unknown,428,9.4,5,236.676 TL,No,All Inclusive
Sherwood Exclusive Kemer,"Göynük, Kemer, Antalya -",Unknown,45,8.2,5,234.272 TL,No,All Inclusive
Concorde De Luxe Resort,"kundu, Antalya -",Merkeze 1.3 km,111,9.7,5,229.533 TL,No,Ultra All Inclusive
Nar,"Kemer, Antalya -",Unknown,14,8.6,3,229.351 TL,No,Breakfast Included
Delphin Diva,"Kemerağzı, Aksu, Antalya -",Merkeze 0.7 km,7,9.4,5,226.240 TL,No,All Inclusive
Selectum Luxury Resort Belek,"Kadriye, Serik, Antalya -",Unknown,225,9.4,5,209.038 TL,No,All Inclusive
Liberty Lara,"kundu, Antalya -",Merkeze 2.2 km,32,9.6,5,206.418 TL,No,All Inclusive
Sentido Kamelya Selin Hotel,"Manavgat, Antalya -",Unknown,98,9.2,5,205.072 TL,No,All Inclusive
Balmy Beach Resort Kemer,"Beldibi, Kemer, Antalya -",Unknown,8,8.0,4,200.994 TL,No,All Inclusive
Regnum Carya,"Kadriye, Serik, Antalya -",Unknown,108,8.7,5,199.680 TL,No,Ultra All Inclusive
Arkk Homes,"Kaleiçi, Muratpaşa, Antalya -",Merkeze 2.4 km,11,9.4,3,195.929 TL,No,Standard
Ethno Belek,"Belek, Serik, Antalya -",Unknown,17,6.9,5,195.563 TL,No,All Inclusive
Kuytu Kaş Houses,"Kaş, Antalya -",Unknown,Unknown,Unknown,4,189.043 TL,No,Standard
Greenwood Suites Resort,"kundu, Antalya -",Merkeze 2.1 km,37,8.4,5,188.379 TL,No,All Inclusive
Club Big Blue Suite Hotel,"Cumhuriyet, Alanya, Antalya -",Unknown,9,9.2,4,188.226 TL,No,All Inclusive
Titanic Mardan Palace,"Lara-Kundu, Muratpaşa, Antalya -",Merkeze 4.9 km,429,9.7,5,187.942 TL,No,All Inclusive
Denizhan Hotel,"Muratpaşa, Antalya -",Merkeze 2.7 km,51,3.8,0,8.031 TL,No,Breakfast Included
Club Herakles,"Kemer, Antalya -",Unknown,15,4.2,3,20.283 TL,No,All Inclusive
Ares Hotel,"Kemer, Antalya -",Unknown,14,4.5,3,21.000 TL,No,All Inclusive
Ersoy Efe Pansiyon,"Muratpaşa, Antalya -",Merkeze 2.8 km,63,4.6,0,5.638 TL,No,Standard
Hotel Lunay,"Arapsuyu, Konyaaltı, Antalya -",Merkeze 4.3 km,23,4.9,3,14.293 TL,No,Breakfast Included
Özgür Hotel,"Muratpaşa, Antalya -",Merkeze 2.6 km,73,5.0,3,8.816 TL,No,Standard
Kleopatra Carina Hotel,"Saray, Alanya, Antalya -",Unknown,74,5.2,0,12.163 TL,No,Standard
Hotel Kayalar,"Muratpaşa, Antalya -",Merkeze 2.7 km,66,5.2,3,11.880 TL,No,Breakfast Included
Kleopatra Smile Hotel,"Saray, Alanya, Antalya -",Unknown,19,5.5,3,18.075 TL,No,Breakfast Included
Çınar Family Suite Hotel,"Side, Manavgat, Antalya -",Unknown,50,5.9,3,19.147 TL,No,All Inclusive
Cunda Esen,"Ayvalık, Balıkesir -",Unknown,60,9.5,3,210.000 TL,No,Breakfast Included
Nefes Hotel,"Cunda Adası, Ayvalık, Balıkesir -",Unknown,17,9.6,0,210.000 TL,No,Breakfast Included
Cunda Despot Evi,"Cunda Adası, Ayvalık, Balıkesir -",Unknown,87,8.7,0,133.650 TL,No,Breakfast Included
