Customer_Rating,Number_of_Stars,Price,Accommodation_Score,City_Antalya,City_Balıkesir,City_Muğla,City_Others
8.4,4,601.91,50,1,0,0,0
9.5,5,452.574,85,1,0,0,0
9.4,5,441.0,95,1,0,0,0
7.3,4,396.0,50,1,0,0,0
9.6,5,353.622,85,1,0,0,0
9.2,5,332.687,85,1,0,0,0
9.1,5,301.97,85,1,0,0,0
9.3,5,288.899,85,1,0,0,0
9.1,5,277.448,85,1,0,0,0
9.9,5,274.387,85,1,0,0,0
9.2,5,252.218,85,1,0,0,0
9.2,5,251.353,85,1,0,0,0
9.8,3,238.212,50,1,0,0,0
9.4,5,236.676,85,1,0,0,0
8.2,5,234.272,85,1,0,0,0
9.7,5,229.533,95,1,0,0,0
8.6,3,229.351,50,1,0,0,0
9.4,5,226.24,85,1,0,0,0
9.4,5,209.038,85,1,0,0,0
9.6,5,206.418,85,1,0,0,0
9.2,5,205.072,85,1,0,0,0
8.0,4,200.994,85,1,0,0,0
8.7,5,199.68,95,1,0,0,0
9.4,3,195.929,40,1,0,0,0
6.9,5,195.563,85,1,0,0,0
8.4,5,188.379,85,1,0,0,0
9.2,4,188.226,85,1,0,0,0
9.7,5,187.942,85,1,0,0,0
3.8,0,8.031,50,1,0,0,0
4.2,3,20.283,85,1,0,0,0
4.5,3,21.0,85,1,0,0,0
4.6,0,5.638,40,1,0,0,0
4.9,3,14.293,50,1,0,0,0
5.0,3,8.816,40,1,0,0,0
5.2,0,12.163,40,1,0,0,0
5.2,3,11.88,50,1,0,0,0
5.5,3,18.075,50,1,0,0,0
5.9,3,19.147,85,1,0,0,0
9.5,3,210.0,50,0,1,0,0
9.6,0,210.0,50,0,1,0,0
8.7,0,133.65,50,0,1,0,0
9.4,3,120.0,40,0,1,0,0
6.8,3,95.028,60,0,1,0,0
8.4,3,83.25,50,0,1,0,0
7.9,5,67.203,85,0,1,0,0
9.2,4,65.145,60,0,1,0,0
8.7,0,64.446,50,0,1,0,0
9.5,0,60.0,40,0,1,0,0
9.3,0,60.0,50,0,1,0,0
8.8,5,58.408,50,0,1,0,0
7.4,0,55.567,50,0,1,0,0
8.0,5,54.312,85,0,1,0,0
8.4,4,54.0,50,0,1,0,0
8.7,0,53.996,50,0,1,0,0
5.1,0,53.76,75,0,1,0,0
9.5,0,52.775,50,0,1,0,0
9.7,0,51.894,50,0,1,0,0
9.5,0,51.601,50,0,1,0,0
10.0,0,49.659,40,0,1,0,0
9.9,3,49.083,40,0,1,0,0
5.9,4,48.222,60,0,1,0,0
7.4,3,48.099,50,0,1,0,0
9.3,0,48.0,50,0,1,0,0
9.3,0,47.584,40,0,1,0,0
7.6,0,47.04,50,0,1,0,0
8.3,3,46.44,50,0,1,0,0
9.5,0,45.9,50,0,1,0,0
8.6,0,45.36,50,0,1,0,0
2.0,0,12.189,50,0,1,0,0
4.2,0,29.16,85,0,1,0,0
5.1,0,53.76,75,0,1,0,0
5.4,4,44.994,85,0,1,0,0
5.9,4,48.222,60,0,1,0,0
6.4,0,21.0,50,0,1,0,0
6.8,3,95.028,60,0,1,0,0
6.9,3,18.048,50,0,1,0,0
6.9,0,22.331,50,0,1,0,0
7.0,0,24.785,50,0,1,0,0
9.4,5,532.173,50,0,0,1,0
8.9,5,408.752,85,0,0,1,0
9.4,5,366.843,50,0,0,1,0
9.4,5,346.853,50,0,0,1,0
9.1,5,344.4,50,0,0,1,0
8.2,5,338.424,95,0,0,1,0
9.2,5,278.19,85,0,0,1,0
8.2,0,252.923,40,0,0,1,0
8.6,5,243.285,50,0,0,1,0
9.4,3,241.497,50,0,0,1,0
9.8,5,235.115,50,0,0,1,0
9.8,5,227.595,50,0,0,1,0
8.6,5,208.413,85,0,0,1,0
8.5,5,192.0,95,0,0,1,0
8.9,5,181.703,85,0,0,1,0
6.9,0,180.0,50,0,0,1,0
9.7,0,177.811,50,0,0,1,0
6.3,5,171.032,50,0,0,1,0
8.9,5,163.873,85,0,0,1,0
8.2,4,163.274,50,0,0,1,0
8.7,4,161.765,85,0,0,1,0
8.4,5,159.6,95,0,0,1,0
9.2,5,156.908,50,0,0,1,0
8.9,5,156.0,95,0,0,1,0
8.9,5,150.412,85,0,0,1,0
8.2,4,149.961,50,0,0,1,0
8.9,5,147.17,85,0,0,1,0
8.8,5,144.54,50,0,0,1,0
9.4,5,141.96,95,0,0,1,0
9.5,5,140.563,85,0,0,1,0
2.5,3,11.491,40,0,0,1,0
4.4,0,20.375,50,0,0,1,0
5.0,5,16.879,50,0,0,1,0
5.2,4,25.921,50,0,0,1,0
5.3,3,18.42,50,0,0,1,0
5.5,3,12.0,40,0,0,1,0
5.5,4,32.408,50,0,0,1,0
5.8,4,29.16,85,0,0,1,0
6.0,4,23.52,85,0,0,1,0
6.0,3,25.816,40,0,0,1,0
5.3,3,6.772,40,0,0,0,1
5.7,3,10.071,40,0,0,0,1
6.3,4,8.03,40,0,0,0,1
6.4,3,10.169,40,0,0,0,1
6.4,5,10.2,40,0,0,0,1
6.5,4,9.6,40,0,0,0,1
6.6,3,10.238,40,0,0,0,1
6.8,3,10.248,40,0,0,0,1
7.0,3,9.193,50,0,0,0,1
7.1,3,9.459,50,0,0,0,1
7.2,3,10.246,50,0,0,0,1
7.4,3,10.651,50,0,0,0,1
7.8,4,42.352,50,0,0,0,1
9.5,3,27.0,50,0,0,0,1
8.5,4,24.524,40,0,0,0,1
8.7,4,22.548,40,0,0,0,1
9.1,5,21.87,40,0,0,0,1
8.5,3,20.899,40,0,0,0,1
8.1,3,20.34,40,0,0,0,1
7.0,5,20.328,40,0,0,0,1
9.1,3,20.12,40,0,0,0,1
8.7,3,19.956,40,0,0,0,1
8.5,4,17.7,40,0,0,0,1
8.3,3,16.501,40,0,0,0,1
8.9,0,16.2,40,0,0,0,1
8.0,3,15.6,40,0,0,0,1
9.4,0,15.061,40,0,0,0,1
8.0,3,14.829,50,0,0,0,1
8.4,3,14.388,50,0,0,0,1
7.9,3,14.1,40,0,0,0,1
7.8,0,12.65,40,0,0,0,1
9.3,4,187.099,60,0,0,0,1
9.0,5,38.202,40,0,0,0,1
10.0,0,31.135,40,0,0,0,1
8.4,0,12.15,40,0,0,0,1
7.9,3,29.686,50,0,0,0,1
9.3,0,29.798,40,0,0,0,1
8.0,4,27.863,40,0,0,0,1
8.4,0,26.387,50,0,0,0,1
7.5,4,48.704,40,0,0,0,1
9.0,4,30.653,50,0,0,0,1
9.8,0,20.647,50,0,0,0,1
7.4,3,16.56,50,0,0,0,1
8.5,4,31.168,50,0,0,0,1
8.8,4,36.767,40,0,0,0,1
8.7,4,43.2,50,0,0,0,1
4.3,0,23.828,50,0,0,0,1
5.5,3,16.271,50,0,0,0,1
5.5,0,25.571,40,0,0,0,1
5.7,4,27.22,50,0,0,0,1
5.8,3,32.967,40,0,0,0,1
6.2,0,14.582,40,0,0,0,1
6.4,4,20.923,50,0,0,0,1
6.5,3,10.152,50,0,0,0,1
6.6,4,27.487,40,0,0,0,1
6.6,3,21.766,50,0,0,0,1
