index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
0,Dedepark,"Tepebaşı, Eskişehir -",Merkeze 1.8 km,232,7.8,4,42.352 TL,Bilgi Yok,Kahvaltı Dahil
1,Questa Thermal & Spa Hotel Eskişehir,"Odunpazarı, Eskişehir -",Merkeze 4.6 km,164,9.5,3,27.000 TL,Bilgi Yok,Kahvaltı Dahil
2,Ramada Plaza by Wyndham Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.4 km,320,8.5,4,24.524 TL,Bilgi Yok,Bilgi Yok
3,The Merlot Hotel Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 2 km,426,8.7,4,22.548 TL,Bilgi Yok,Bilgi Yok
4,Park Dedeman Eskişehir,"Odunpazarı, Eskişehir -",Merkeze 2.6 km,670,9.1,5,21.870 TL,Bilgi Yok,Bilgi Yok
5,İbis Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.8 km,387,8.5,3,20.899 TL,Bilgi Yok,Bilgi Yok
6,Sam Royal Hotel,"Tepebaşı, Eskişehir -",Merkeze 1.8 km,120,8.1,3,20.340 TL,Bilgi Yok,Bilgi Yok
7,Anemon Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 3.7 km,290,7.0,5,20.328 TL,Bilgi Yok,Bilgi Yok
8,Smart by Dedeman Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.6 km,93,9.1,3,20.120 TL,Bilgi Yok,Bilgi Yok
9,Madeen City Hotel,"Tepebaşı, Eskişehir -",Merkeze 1 km,271,8.7,3,19.956 TL,Bilgi Yok,Bilgi Yok
10,Arwen Premium Residence,"Tepebaşı, Eskişehir -",Merkeze 1.3 km,123,8.5,4,17.700 TL,Bilgi Yok,Bilgi Yok
11,Vendome Hotel,"İstiklal, Odunpazarı, Eskişehir -",Merkeze 0.5 km,56,8.3,3,16.501 TL,Bilgi Yok,Bilgi Yok
12,Eskişehir Yuva Otel,"Arifiye, Odunpazarı, Eskişehir -",Merkeze 0.4 km,133,8.9,0,16.200 TL,Bilgi Yok,Bilgi Yok
13,SRF Hotel,"Odunpazarı, Eskişehir -",Merkeze 0.6 km,196,8.0,3,15.600 TL,Bilgi Yok,Bilgi Yok
14,Art Suit,"Odunpazarı, Eskişehir -",Merkeze 0.5 km,45,9.4,0,15.061 TL,Bilgi Yok,Bilgi Yok
15,Sör Otel,"Tepebaşı, Eskişehir -",Merkeze 1.7 km,98,8.0,3,14.829 TL,Bilgi Yok,Kahvaltı Dahil
16,Tymbris Hotel Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.7 km,336,8.4,3,14.388 TL,Bilgi Yok,Kahvaltı Dahil
17,The Breeze Hotel,"Odunpazarı, Eskişehir -",Merkeze 0.2 km,148,7.9,3,14.100 TL,Bilgi Yok,Bilgi Yok
18,Deeps Hostel Eskişehir,"Tepebaşı, Eskişehir -",Merkeze 0.8 km,170,7.8,0,12.650 TL,Bilgi Yok,Bilgi Yok
