index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
2,Ayyıldızlar Otel,"Kadıköy, İstanbul -",Merkeze 4.4 km,117,5.3,3,6.772 TL,Bilgi Yok,Bilgi Yok
16,Monarch Hotel İstanbul,"Fatih, İstanbul -",Merkeze 1 km,39,5.7,3,10.071 TL,Bilgi Yok,Bilgi Yok
4,Best Pasaport Pier Otel Kadıköy,"Moda, Kadıköy, İstanbul -",Merkeze 5 km,196,6.3,4,8.030 TL,Bilgi Yok,Bilgi Yok
19,Green Garden İstanbul Hotel,"Bahçelievler, İstanbul -",Bilinmiyor,54,6.4,3,10.169 TL,Bilgi Yok,Bilgi Yok
20,Elit Suites,"Kurtköy, Pendik (İstanbul), İstanbul -",Bilinmiyor,211,6.4,5,10.200 TL,Bilgi Yok,Bilgi Yok
10,The Hera Premium Hotels,"Maltepe, İstanbul -",Bilinmiyor,160,6.5,4,9.600 TL,Bilgi Yok,Bilgi Yok
22,Valeria Deluxe Sultanahmet Hotel,"Beyazıt, Fatih, İstanbul -",Merkeze 0.9 km,28,6.6,3,10.238 TL,Bilgi Yok,Bilgi Yok
24,Magnificent Hotel,"Sultanahmet, Fatih, İstanbul -",Merkeze 1.3 km,35,6.8,3,10.248 TL,Bilgi Yok,Bilgi Yok
7,My Home Sultanahmet,"Sultanahmet, Fatih, İstanbul -",Merkeze 1 km,32,7.0,3,9.193 TL,Bilgi Yok,Kahvaltı Dahil
9,Milano Hotel & Spa Sultanahmet,"Kumkapı, Fatih, İstanbul -",Merkeze 1.1 km,61,7.1,3,9.459 TL,Bilgi Yok,Kahvaltı Dahil
23,Kadıköy Arya Hotel,"Kadıköy, İstanbul -",Merkeze 4.5 km,105,7.2,3,10.246 TL,Bilgi Yok,Kahvaltı Dahil
26,Air Boss Hotel İstanbul,"Sefaköy, Küçükçekmece, İstanbul -",Bilinmiyor,131,7.4,3,10.651 TL,Bilgi Yok,Kahvaltı Dahil
