index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
9,Denizhan Hotel,"Muratpaşa, Antalya -",Merkeze 2.7 km,51,3.8,0,8.031 TL,Bilgi Yok,Kahvaltı Dahil
168,Club Herakles,"Kemer, Antalya -",Bilinmiyor,15,4.2,3,20.283 TL,Bilgi Yok,Her Şey Dahil
180,Ares Hotel,"Kemer, Antalya -",Bilinmiyor,14,4.5,3,21.000 TL,Bilgi Yok,Her Şey Dahil
2,Ersoy Efe Pansiyon,"Muratpaşa, Antalya -",Merkeze 2.8 km,63,4.6,0,5.638 TL,Bilgi Yok,Bilgi Yok
74,Hotel Lunay,"Arapsuyu, Konyaaltı, Antalya -",Merkeze 4.3 km,23,4.9,3,14.293 TL,Bilgi Yok,Kahvaltı Dahil
12,Özgür Hotel,"Muratpaşa, Antalya -",Merkeze 2.6 km,73,5.0,3,8.816 TL,Bilgi Yok,Bilgi Yok
38,Kleopatra Carina Hotel,"Saray, Alanya, Antalya -",Bilinmiyor,74,5.2,0,12.163 TL,Bilgi Yok,Bilgi Yok
32,Hotel Kayalar,"Muratpaşa, Antalya -",Merkeze 2.7 km,66,5.2,3,11.880 TL,Bilgi Yok,Kahvaltı Dahil
127,Kleopatra Smile Hotel,"Saray, Alanya, Antalya -",Bilinmiyor,19,5.5,3,18.075 TL,Bilgi Yok,Kahvaltı Dahil
150,Çınar Family Suite Hotel,"Side, Manavgat, Antalya -",Bilinmiyor,50,5.9,3,19.147 TL,Bilgi Yok,Her Şey Dahil
