index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
2,Gönen Palmiye Butik Pansiyon,"Gönen, Balıkesir -",Bilinmiyor,1,2.0,0,12.189 TL,Bilgi Yok,Kahvaltı Dahil
36,Afytos Park Ören,"Burhaniye, Balıkesir -",Bilinmiyor,12,4.2,0,29.160 TL,Bilgi Yok,Her Şey Dahil
85,Ivy Sailing Resort,"Ayvalık, Balıkesir -",Bilinmiyor,82,5.1,0,53.760 TL,Bilgi Yok,Alkolsüz Her Şey Dahil
67,Afytos Akçay,"Edremit, Balıkesir -",Bilinmiyor,77,5.4,4,44.994 TL,Bilgi Yok,Her Şey Dahil
78,Tabiat Park Resort Hotel Ayvalik,"Ayvalık, Balıkesir -",Bilinmiyor,94,5.9,4,48.222 TL,Bilgi Yok,Yarım Pansiyon
17,Paradise Hotel Akçay,"Edremit, Balıkesir -",Bilinmiyor,8,6.4,0,21.000 TL,Bilgi Yok,Kahvaltı Dahil
98,Aqua Nina Hotel,"Ören, Burhaniye, Balıkesir -",Bilinmiyor,44,6.8,3,95.028 TL,Bilgi Yok,Yarım Pansiyon
13,Uytun Hotel,"Edremit, Balıkesir -",Bilinmiyor,60,6.9,3,18.048 TL,Bilgi Yok,Kahvaltı Dahil
20,Bahar Aqua Resort,"Avşa, Marmara, Balıkesir -",Bilinmiyor,109,6.9,0,22.331 TL,Bilgi Yok,Kahvaltı Dahil
25,Yaman Beach Hotel,"Erdek, Balıkesir -",Bilinmiyor,145,7.0,0,24.785 TL,Bilgi Yok,Kahvaltı Dahil
