index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
1,Hotel Caktug,"Dalaman Merkez, Dalaman, Muğla -",Merkeze 4.7 km,15,2.5,3,11.491 TL,Bilgi Yok,Bilgi Yok
44,Hotel Nil,"Akyaka, Ula, Muğla -",Bilinmiyor,8,4.4,0,20.375 TL,Bilgi Yok,Kahvaltı Dahil
17,Ideal Pension,"Karagözler, Fethiye, Muğla -",Merkeze 3.1 km,27,5.0,5,16.879 TL,Bilgi Yok,Kahvaltı Dahil
133,Grand Faros Hotel,"Armutalan, Marmaris, Muğla -",Merkeze 0.1 km,18,5.2,4,25.921 TL,Bilgi Yok,Kahvaltı Dahil
28,Golden Star Hotel,"Marmaris, Muğla -",Merkeze 1.6 km,129,5.3,3,18.420 TL,Bilgi Yok,Kahvaltı Dahil
3,Gloria Tibi Gümbet,"Bitez, Bodrum, Muğla -",Merkeze 3.3 km,77,5.5,3,12.000 TL,Bilgi Yok,Bilgi Yok
212,Mavruka Hotel,"Ölüdeniz, Fethiye, Muğla -",Bilinmiyor,10,5.5,4,32.408 TL,Ücretsiz İptal,Kahvaltı Dahil
173,Afytos Bodrum,"Bodrum, Muğla -",Merkeze 3.2 km,19,5.8,4,29.160 TL,Bilgi Yok,Her Şey Dahil
90,Pineta Club Hotel,"Siteler, Marmaris, Muğla -",Merkeze 2.9 km,230,6.0,4,23.520 TL,Bilgi Yok,Her Şey Dahil
132,Aloha Suites Mediterranean Houses,"Siteler, Marmaris, Muğla -",Merkeze 2 km,1,6.0,3,25.816 TL,Bilgi Yok,Bilgi Yok
