index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
50,Özkan Otel,"Uzungöl, Çaykara, Trabzon -",Bilinmiyor,3,4.3,0,23.828 TL,Bilgi Yok,Kahvaltı Dahil
17,Sumela Holiday Hotel,"Maçka, Trabzon -",Bilinmiyor,19,5.5,3,16.271 TL,Bilgi Yok,Kahvaltı Dahil
59,Blue Sea Boutique Hotel,"Ortahisar, Trabzon -",Merkeze 2.1 km,15,5.5,0,25.571 TL,Bilgi Yok,Bilgi Yok
67,Saylamlar Hotel,"Ortahisar, Trabzon -",Bilinmiyor,42,5.7,4,27.220 TL,Bilgi Yok,Kahvaltı Dahil
89,Cerrahpasa Suite Hotel,"Çaykara, Trabzon -",Bilinmiyor,10,5.8,3,32.967 TL,Bilgi Yok,Bilgi Yok
12,Karabina Eylül Aparts,"Konaklar, Ortahisar, Trabzon -",Merkeze 4.6 km,12,6.2,0,14.582 TL,Bilgi Yok,Bilgi Yok
36,Royal Life Exclusive,Trabzon Şehir Merkezi -,Bilinmiyor,149,6.4,4,20.923 TL,Bilgi Yok,Kahvaltı Dahil
4,The Marine Hotel,"Arsin, Trabzon -",Bilinmiyor,3,6.5,3,10.152 TL,Bilgi Yok,Kahvaltı Dahil
68,Elif Inan Hotel,"Uzungöl, Çaykara, Trabzon -",Bilinmiyor,19,6.6,4,27.487 TL,Bilgi Yok,Bilgi Yok
42,Nazar Hotel,"İskenderpaşa, Ortahisar, Trabzon -",Merkeze 0.6 km,41,6.6,3,21.766 TL,Bilgi Yok,Kahvaltı Dahil
