index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
0,Cunda Esen,"Ayvalık, Balıkesir -",Bilinmiyor,60,9.5,3,210.000 TL,Bilgi Yok,Kahvaltı Dahil
1,Nefes Hotel,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,17,9.6,0,210.000 TL,Bilgi Yok,Kahvaltı Dahil
2,Cunda Despot Evi,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,87,8.7,0,133.650 TL,Bilgi Yok,Kahvaltı Dahil
4,Cundavilla,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,51,9.4,3,120.000 TL,Bilgi Yok,Bilgi Yok
5,Aqua Nina Hotel,"Ören, Burhaniye, Balıkesir -",Bilinmiyor,44,6.8,3,95.028 TL,Bilgi Yok,Yarım Pansiyon
7,Cunda Oteli,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,34,8.4,3,83.250 TL,Bilgi Yok,Kahvaltı Dahil
8,Grand Hotel Temizel,"Ayvalık, Balıkesir -",Bilinmiyor,151,7.9,5,67.203 TL,Bilgi Yok,Her Şey Dahil
9,Hotel Erol,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,52,9.2,4,65.145 TL,Bilgi Yok,Yarım Pansiyon
10,Cunda Panorama Hotel,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,26,8.7,0,64.446 TL,Bilgi Yok,Kahvaltı Dahil
11,Çamlık Apart,"Ayvalık, Balıkesir -",Bilinmiyor,2,9.5,0,60.000 TL,Bilgi Yok,Bilgi Yok
12,The Mira House,"Ayvalık, Balıkesir -",Bilinmiyor,6,9.3,0,60.000 TL,Ücretsiz İptal,Kahvaltı Dahil
13,D Resort Ayvalık,"Ayvalık, Balıkesir -",Bilinmiyor,50,8.8,5,58.408 TL,Bilgi Yok,Kahvaltı Dahil
14,Yasmin Hotel,"Ayvalık, Balıkesir -",Bilinmiyor,15,7.4,0,55.567 TL,Bilgi Yok,Kahvaltı Dahil
15,Haliç Park Ayvalık,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,202,8.0,5,54.312 TL,Bilgi Yok,Her Şey Dahil
16,Willmont Hotel,"Karesi, Balıkesir -",Merkeze 3.3 km,84,8.4,4,54.000 TL,Bilgi Yok,Kahvaltı Dahil
17,Myrodia by Etapaltinel,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,35,8.7,0,53.996 TL,Bilgi Yok,Kahvaltı Dahil
18,Ivy Sailing Resort,"Ayvalık, Balıkesir -",Bilinmiyor,82,5.1,0,53.760 TL,Bilgi Yok,Alkolsüz Her Şey Dahil
19,Cunda Villa Anka,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,16,9.5,0,52.775 TL,Bilgi Yok,Kahvaltı Dahil
20,Pınar Otel,"Erdek, Balıkesir -",Bilinmiyor,68,9.7,0,51.894 TL,Bilgi Yok,Kahvaltı Dahil
21,Mola Hotel,"Marmara Adası, Balıkesir -",Bilinmiyor,45,9.5,0,51.601 TL,Bilgi Yok,Kahvaltı Dahil
23,Oren Konak Apart Otel,"Ören, Burhaniye, Balıkesir -",Bilinmiyor,5,10,0,49.659 TL,Bilgi Yok,Bilgi Yok
24,Fragrante Hotel - Adult Only,"Mithatpaşa, Ayvalık, Balıkesir -",Bilinmiyor,51,9.9,3,49.083 TL,Bilgi Yok,Bilgi Yok
25,Tabiat Park Resort Hotel Ayvalik,"Ayvalık, Balıkesir -",Bilinmiyor,94,5.9,4,48.222 TL,Bilgi Yok,Yarım Pansiyon
26,Mulka Hotel,"Küçükköy, Ayvalık, Balıkesir -",Bilinmiyor,42,7.4,3,48.099 TL,Bilgi Yok,Kahvaltı Dahil
28,Ömer Ağa Konağı,"Cunda Adası, Ayvalık, Balıkesir -",Bilinmiyor,58,9.3,0,48.000 TL,Bilgi Yok,Kahvaltı Dahil
29,Şekercigiller Grup Konuk Evi,"Ayvalık, Balıkesir -",Bilinmiyor,22,9.3,0,47.584 TL,Bilgi Yok,Bilgi Yok
30,Verde Blu Bungalow,"Altınoluk, Edremit, Balıkesir -",Bilinmiyor,11,7.6,0,47.040 TL,Bilgi Yok,Kahvaltı Dahil
31,Grand Milano Hotel,"Ayvalık, Balıkesir -",Bilinmiyor,31,8.3,3,46.440 TL,Bilgi Yok,Kahvaltı Dahil
32,Kazdağları Zeytunihan Butik Otel,"Kazdağları, Edremit, Balıkesir -",Bilinmiyor,3,9.5,0,45.900 TL,Bilgi Yok,Kahvaltı Dahil
33,Zeytin Arası Taş Evler,"Küçükköy, Ayvalık, Balıkesir -",Bilinmiyor,21,8.6,0,45.360 TL,Bilgi Yok,Kahvaltı Dahil
