index,İsim,Adres,Merkeze Uzaklık,Yorum Sayısı,Puan,Yıldız Sayısı,Fiyat,Ücretsiz İptal,Konaklama Tipi
0,Grand Vaves Hotel,"Ortahisar, Trabzon -",Merkeze 2.6 km,49,9.3,4,187.099 TL,Ücretsiz İptal,Yarım Pansiyon
1,Zorlu Grand,"Ortahisar, Trabzon -",Merkeze 0.2 km,30,9.0,5,38.202 TL,Bilgi Yok,Bilgi Yok
2,Melissa Suite Otel,"2 Nolu Bostancı, Ortahisar, Trabzon -",Merkeze 2.9 km,21,10,0,31.135 TL,Bilgi Yok,Bilgi Yok
3,Air Suite Hotel,"Ortahisar, Trabzon -",Merkeze 4.8 km,33,8.4,0,12.150 TL,Bilgi Yok,Bilgi Yok
4,Cephanelik Boutique Hotel,"Ortahisar, Trabzon -",Merkeze 1.4 km,25,7.9,3,29.686 TL,Ücretsiz İptal,Kahvaltı Dahil
5,Liva Teras,"Uzungöl, Çaykara, Trabzon -",Bilinmiyor,13,9.3,0,29.798 TL,Bilgi Yok,Bilgi Yok
6,Nova Uzungöl,"Uzungöl, Çaykara, Trabzon -",Bilinmiyor,84,8.0,4,27.863 TL,Ücretsiz İptal,Bilgi Yok
7,Ozkan Hotel,"Çaykara, Trabzon -",Bilinmiyor,22,8.4,0,26.387 TL,Bilgi Yok,Kahvaltı Dahil
8,My Home Uzungöl,"Uzungöl, Çaykara, Trabzon -",Bilinmiyor,18,7.5,4,48.704 TL,Ücretsiz İptal,Bilgi Yok
9,Sera Nature Hotel & Spa,"Akçaabat, Trabzon -",Bilinmiyor,63,9.0,4,30.653 TL,Ücretsiz İptal,Kahvaltı Dahil
10,Alya Teras Otel,"Maçka, Trabzon -",Bilinmiyor,37,9.8,0,20.647 TL,Ücretsiz İptal,Kahvaltı Dahil
11,Cebeci Grand Hotel,"Çarşı, Ortahisar, Trabzon -",Merkeze 0.4 km,277,7.4,3,16.560 TL,Bilgi Yok,Kahvaltı Dahil
12,Hancıoğlu Çamburnu Orman Evleri Bungalow & Hotel,"Sürmene, Trabzon -",Bilinmiyor,323,8.5,4,31.168 TL,Bilgi Yok,Kahvaltı Dahil
13,Park Dedeman Trabzon,"Yomra, Trabzon -",Bilinmiyor,96,8.8,4,36.767 TL,Ücretsiz İptal,Bilgi Yok
14,Alesha Suite Hotel,"Yomra, Trabzon -",Bilinmiyor,29,8.7,4,43.200 TL,Bilgi Yok,Kahvaltı Dahil
